,algorithm,n,p,out,out_2model,rss,iter,time,intercept,h_size,max_steps,leverage_ratio
173,MOEA-QR-BAB,30,2,0.3,1.0,137.54137067557744,1424551,1.8589999675750732,True,17,100,0.2
174,MOEA-QR-BSA,30,2,0.3,1.0,137.54137067557727,14882,1.4800000190734863,True,17,100,0.2
175,BSA,30,2,0.3,1.0,137.54137067557727,14882,1.4730000495910645,True,17,100,0.2
176,BAB,30,2,0.3,1.0,61.914952182741885,103529,0.17900000512599945,True,17,100,0.2
177,MOEA-QR-BAB,30,2,0.3,1.0,61.914952182741885,1330362,1.5870000123977661,True,17,100,0.2
178,MOEA-QR-BSA,30,2,0.3,1.0,61.914952182741814,16191,1.4739999771118164,True,17,100,0.2
179,BSA,30,2,0.3,1.0,61.914952182741814,16191,1.4730000495910645,True,17,100,0.2
180,BAB,30,2,0.3,1.0,32.7586785924018,96847,0.19499999284744263,True,17,100,0.2
181,MOEA-QR-BAB,30,2,0.3,1.0,32.7586785924018,988432,1.1779999732971191,True,17,100,0.2
182,MOEA-QR-BSA,30,2,0.3,1.0,32.75867859240176,17829,1.4769999980926514,True,17,100,0.2
183,BSA,30,2,0.3,1.0,32.75867859240176,17829,1.4759999513626099,True,17,100,0.2
184,BAB,30,2,0.3,1.0,197.11883068676056,227260,0.3199999928474426,True,17,100,0.2
185,MOEA-QR-BAB,30,2,0.3,1.0,197.11883068676056,1237976,1.569000005722046,True,17,100,0.2
186,MOEA-QR-BSA,30,2,0.3,1.0,197.11883068676045,14777,1.468999981880188,True,17,100,0.2
187,BSA,30,2,0.3,1.0,197.11883068676045,14777,1.472000002861023,True,17,100,0.2
188,BAB,30,2,0.3,1.0,90.62868776834908,309746,0.5690000057220459,True,17,100,0.2
189,MOEA-QR-BAB,30,2,0.3,1.0,90.62868776834907,931480,1.0579999685287476,True,17,100,0.2
190,MOEA-QR-BSA,30,2,0.3,1.0,90.62868776834905,15302,1.4730000495910645,True,17,100,0.2
191,BSA,30,2,0.3,1.0,90.62868776834905,15302,1.4809999465942383,True,17,100,0.2
192,BAB,30,2,0.3,1.0,6.080768759134168,134794,0.24500000476837158,True,17,100,0.2
193,MOEA-QR-BAB,30,2,0.3,1.0,6.080768759134194,1243376,1.590999960899353,True,17,100,0.2
194,MOEA-QR-BSA,30,2,0.3,1.0,6.080768759134175,14812,1.4639999866485596,True,17,100,0.2
195,BSA,30,2,0.3,1.0,6.080768759134175,14812,1.4639999866485596,True,17,100,0.2
196,BAB,30,2,0.3,1.0,3.089041800099362,96733,0.16599999368190765,True,17,100,0.2
197,MOEA-QR-BAB,30,2,0.3,1.0,3.089041800099362,856414,0.9769999980926514,True,17,100,0.2
198,MOEA-QR-BSA,30,2,0.3,1.0,3.089041800099362,16429,1.4730000495910645,True,17,100,0.2
199,BSA,30,2,0.3,1.0,3.089041800099362,16429,1.4850000143051147,True,17,100,0.2
200,BAB,30,2,0.45,1.0,129.30138033792022,46044,0.07599999755620956,True,17,100,0.2
201,MOEA-QR-BAB,30,2,0.45,1.0,129.30138033792045,722950,0.7590000033378601,True,17,100,0.2
202,MOEA-QR-BSA,30,2,0.45,1.0,129.30138033792022,15883,1.465000033378601,True,17,100,0.2
203,BSA,30,2,0.45,1.0,129.30138033792022,15883,1.475000023841858,True,17,100,0.2
204,BAB,30,2,0.45,1.0,164.43901267590252,133576,0.2770000100135803,True,17,100,0.2
205,MOEA-QR-BAB,30,2,0.45,1.0,164.43901267590252,946321,1.2230000495910645,True,17,100,0.2
