,algorithm,n,p,out,out_2model,rss,iter,time,cos,intercept_diff,l2,global_min,intercept,h_size,num_starts_subsets,leverage_ratio
61,FAST-LTS-MMEA-QR,100,3,0.1,0.0,62.35450348346964,33,0.11815200001001358,0.9988457275883508,0.2747354973554178,0.28750014997935874,False,True,52,50,0.2
62,FAST-LTS-MOEA-QR,100,3,0.1,0.0,62.35450348346963,33,0.3142000138759613,0.9988457275883508,0.274735497355419,0.28750014997936,False,True,52,50,0.2
63,MMEA-QR,100,3,0.1,0.0,62.35450348346964,32,0.11875399947166443,0.9988457275883508,0.2747354973554189,0.28750014997935985,False,True,52,50,0.2
64,MOEA-QR,100,3,0.1,0.0,62.354503483469585,30,0.30438899993896484,0.9988457275883508,0.2747354973554189,0.28750014997935963,False,True,52,50,0.2
65,FAST-LTS,100,3,0.1,0.0,145.83015273663233,5,0.0011389999999664724,0.9969676218460466,0.2697821018321349,0.31714843229319534,False,True,52,50,0.2
66,FAST-LTS-MMEA-QR,100,3,0.1,0.0,134.06344411841695,28,0.11268000304698944,0.9989509021612076,1.5544633745474543,1.5565491111512517,False,True,52,50,0.2
67,FAST-LTS-MOEA-QR,100,3,0.1,0.0,134.06344411841692,26,0.2704069912433624,0.9989509021612074,1.5544633745474552,1.5565491111512526,False,True,52,50,0.2
68,MMEA-QR,100,3,0.1,0.0,134.06344411841695,30,0.11661700159311295,0.9989509021612076,1.5544633745474552,1.5565491111512526,False,True,52,50,0.2
69,MOEA-QR,100,3,0.1,0.0,134.06344411841695,21,0.28786399960517883,0.9989509021612076,1.5544633745474534,1.5565491111512508,False,True,52,50,0.2
70,FAST-LTS,100,3,0.1,0.0,99.92770169934496,7,0.0011619999713730067,0.9988136012925087,1.0935981935842827,1.0995674606653791,False,True,52,50,0.2
71,FAST-LTS-MMEA-QR,100,3,0.1,0.0,96.60459229921125,28,0.11898499727249146,0.9996472498763743,1.3193039303572656,1.322007212921646,False,True,52,50,0.2
72,FAST-LTS-MOEA-QR,100,3,0.1,0.0,96.60459229921125,25,0.2954480051994324,0.9996472498763741,1.3193039303572631,1.3220072129216438,False,True,52,50,0.2
73,MMEA-QR,100,3,0.1,0.0,96.60459229921128,24,0.12234000116586685,0.9996472498763743,1.3193039303572638,1.3220072129216442,False,True,52,50,0.2
74,MOEA-QR,100,3,0.1,0.0,96.60459229921125,31,0.3172439932823181,0.9996472498763743,1.3193039303572647,1.3220072129216451,False,True,52,50,0.2
75,FAST-LTS,100,3,0.1,0.0,166.35215159436243,9,0.0010849999962374568,0.9990782230361575,1.0042320804084834,1.0094470394897188,False,True,52,50,0.2
76,FAST-LTS-MMEA-QR,100,3,0.1,0.0,163.3250783506195,26,0.11951199918985367,0.9989853521192755,0.9514350495322343,0.9559395360592314,False,True,52,50,0.2
77,FAST-LTS-MOEA-QR,100,3,0.1,0.0,163.32507835061946,31,0.3075770139694214,0.9989853521192755,0.9514350495322296,0.9559395360592267,False,True,52,50,0.2
78,MMEA-QR,100,3,0.1,0.0,163.32507835061946,22,0.11417099833488464,0.9989853521192753,0.9514350495322292,0.9559395360592263,False,True,52,50,0.2
79,MOEA-QR,100,3,0.1,0.0,163.32507835061946,31,0.29184800386428833,0.9989853521192755,0.9514350495322319,0.955939536059229,False,True,52,50,0.2
80,FAST-LTS,100,3,0.1,0.0,116.39702559001638,18,0.0013289999915286899,0.999396081563802,1.1746031756618707,1.1789763306434184,False,True,52,50,0.2
81,FAST-LTS-MMEA-QR,100,3,0.1,0.0,112.97121622162337,34,0.12013400346040726,0.9986581259175129,0.7526220799400649,0.7638949600074165,False,True,52,50,0.2
82,FAST-LTS-MOEA-QR,100,3,0.1,0.0,112.97121622162335,31,0.31752100586891174,0.9986581259175129,0.7526220799400651,0.7638949600074167,False,True,52,50,0.2
83,MMEA-QR,100,3,0.1,0.0,112.97121622162337,27,0.11728399991989136,0.9986581259175129,0.7526220799400645,0.7638949600074161,False,True,52,50,0.2
84,MOEA-QR,100,3,0.1,0.0,112.9712162216234,31,0.3017210066318512,0.9986581259175127,0.7526220799400651,0.7638949600074166,False,True,52,50,0.2
85,FAST-LTS,100,3,0.1,0.0,797.5275860153799,6,0.0011269999959040433,0.9960642460954352,2.073541698797701,2.079342613236369,False,True,52,50,0.2
86,FAST-LTS-MMEA-QR,100,3,0.1,0.0,786.0721076353905,27,0.11939000338315964,0.9901879887193369,2.7441612503314876,2.754833035742063,False,True,52,50,0.2
87,FAST-LTS-MOEA-QR,100,3,0.1,0.0,786.0721076353905,34,0.30316799879074097,0.9901879887193369,2.7441612503314854,2.754833035742061,False,True,52,50,0.2
88,MMEA-QR,100,3,0.1,0.0,786.0721076353905,28,0.1184379979968071,0.9901879887193369,2.744161250331486,2.7548330357420614,False,True,52,50,0.2
89,MOEA-QR,100,3,0.1,0.0,786.0721076353905,34,0.29434001445770264,0.9901879887193369,2.7441612503314836,2.754833035742059,False,True,52,50,0.2
90,FAST-LTS,100,3,0.1,0.0,458.9434772183594,9,0.0011569999915082008,0.9969249885702777,2.6844403692080103,2.6893712643121597,False,True,52,50,0.2
91,FAST-LTS-MMEA-QR,100,3,0.1,0.0,433.8105137849518,27,0.11575300246477127,0.9974358376991529,0.11450416778558381,0.2562064504337709,False,True,52,50,0.2
92,FAST-LTS-MOEA-QR,100,3,0.1,0.0,433.8105137849519,26,0.28108200430870056,0.9974358376991529,0.11450416778558425,0.2562064504337716,False,True,52,50,0.2
93,MMEA-QR,100,3,0.1,0.0,433.810513784952,25,0.11533500254154205,0.9974358376991529,0.11450416778558448,0.2562064504337717,False,True,52,50,0.2
94,MOEA-QR,100,3,0.1,0.0,433.81051378495187,23,0.29464200139045715,0.9974358376991529,0.11450416778558337,0.2562064504337708,False,True,52,50,0.2
95,FAST-LTS,100,3,0.1,0.0,65.1183299872078,8,0.0012410000199452043,0.9999176468921859,0.9530771700528301,0.9535087687408191,False,True,52,50,0.2
96,FAST-LTS-MMEA-QR,100,3,0.1,0.0,64.92338246611502,24,0.12353599816560745,0.9996951424286856,1.0599438390362717,1.0611147828989673,False,True,52,50,0.2
97,FAST-LTS-MOEA-QR,100,3,0.1,0.0,64.92338246611506,20,0.30489999055862427,0.999695142428686,1.059943839036273,1.0611147828989687,False,True,52,50,0.2
98,MMEA-QR,100,3,0.1,0.0,64.92338246611513,27,0.12692399322986603,0.9996951424286857,1.0599438390362714,1.061114782898967,False,True,52,50,0.2
99,MOEA-QR,100,3,0.1,0.0,64.92338246611503,31,0.30336499214172363,0.999695142428686,1.0599438390362732,1.0611147828989689,False,True,52,50,0.2
100,FAST-LTS,100,5,0.1,0.0,230.7880805049829,12,0.001483000029111281,0.9980193570180826,1.9855261249053757,1.992258160378499,False,True,53,50,0.2
101,FAST-LTS-MMEA-QR,100,5,0.1,0.0,225.08071423377078,24,0.13808000087738037,0.9979671875067289,1.445742972827564,1.4525035791165917,False,True,53,50,0.2
102,FAST-LTS-MOEA-QR,100,5,0.1,0.0,225.0807142337707,26,0.32718899846076965,0.9979671875067289,1.4457429728275588,1.4525035791165866,False,True,53,50,0.2
103,MMEA-QR,100,5,0.1,0.0,225.0807142337707,30,0.13585199415683746,0.9979671875067289,1.445742972827561,1.4525035791165886,False,True,53,50,0.2
104,MOEA-QR,100,5,0.1,0.0,225.08071423377066,30,0.3223620057106018,0.9979671875067287,1.445742972827562,1.4525035791165897,False,True,53,50,0.2
105,FAST-LTS,100,5,0.1,0.0,38.05122059513145,6,0.0015250000287778676,0.9999658081192745,0.3950651861159337,0.39550038902603657,False,True,53,50,0.2
106,FAST-LTS-MMEA-QR,100,5,0.1,0.0,32.46957731555316,30,0.15028299391269684,0.9999476689182866,1.0504140439491705,1.050726094680577,False,True,53,50,0.2
